idnum,uniq_id,cluster,upm,wt,wave,pais,nationality,estratopri,prov,municipio,estratosec,tamano,ur,fecha,q1,q2,a4,vb1,inf1,vb2,vb3n,vb10,vb11,pol1,vb20,q10new
588,MEX18_0588,672,73,1,2018,México,Mexicano,Centro,Estado de México,Nicolás Romero,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Rural,04/02/2019,Mujer,48,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $620 - $1,200"
186,MEX18_0186,42,108,1,2018,México,Mexicano,Norte,Baja California,Tijuana,"Grande (más de 100,000)",Ciudad grande,Urbano,28/02/2019,Hombre,47,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,801 - $3,400"
1214,MEX18_1214,371,51,1,2018,México,Mexicano,Centro Occidente,Guanajuato,León,"Grande (más de 100,000)",Ciudad grande,Urbano,15/02/2019,Hombre,68,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Iría a votar pero dejaría la boleta en blanco o la anularía,No responde
985,MEX18_0985,301,9,1,2018,México,Mexicano,Centro,Distrito Federal,Benito Juárez,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,05/02/2019,Mujer,75,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Más de $13,000"
1518,MEX18_1518,831,106,1,2018,México,Mexicano,Centro Occidente,Nayarit,Tepic,"Grande (más de 100,000)",Ciudad grande,Urbano,06/03/2019,Hombre,73,Desempleo/falta de empleo,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,No responde
888,MEX18_0888,671,73,1,2018,México,Mexicano,Centro,Estado de México,Nicolás Romero,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Rural,04/02/2019,Hombre,63,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,No responde
1528,MEX18_1528,372,51,1,2018,México,Mexicano,Centro Occidente,Guanajuato,León,"Grande (más de 100,000)",Ciudad grande,Urbano,15/02/2019,Hombre,33,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,No sabe,"Entre $6,401 - $7,600"
1451,MEX18_1451,41,108,1,2018,México,Mexicano,Norte,Baja California,Tijuana,"Grande (más de 100,000)",Ciudad grande,Urbano,28/02/2019,Mujer,53,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $9,301 - $13,000"
1544,MEX18_1544,352,26,1,2018,México,Mexicano,Centro Occidente,Guanajuato,Dolores Hidalgo,"Grande (más de 100,000)",Ciudad mediana,Urbano,13/02/2019,Hombre,21,Seguridad (falta de),No,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $1,201 - $1,600"
1261,MEX18_1261,471,104,1,2018,México,Mexicano,Centro,Hidalgo,Tepeji del Río de Ocampo,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Rural,10/02/2019,Hombre,24,Conflicto armado,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,401 - $2,800"
830,MEX18_0830,472,104,1,2018,México,Mexicano,Centro,Hidalgo,Tepeji del Río de Ocampo,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Rural,12/02/2019,Mujer,24,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,Ningún ingreso
602,MEX18_0602,272,46,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,31/01/2019,Hombre,23,Corrupción,No,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,201 - $1,600"
415,MEX18_0415,302,9,1,2018,México,Mexicano,Centro,Distrito Federal,Benito Juárez,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,05/02/2019,Hombre,74,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Poco,Votaría por el candidato o partido del actual presidente/administración,No responde
1597,MEX18_1597,811,124,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,23/02/2019,Mujer,52,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,301 - $4,800"
1134,MEX18_1134,801,123,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,23/02/2019,Mujer,50,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,No votaría,"Entre $5,401 - $6,400"
526,MEX18_0526,461,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,26/03/2019,Mujer,25,Violencia,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
1090,MEX18_1090,401,28,1,2018,México,Mexicano,Sur,Guerrero,Eduardo Neri,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Mujer,26,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,201 - $1,600"
1471,MEX18_1471,792,48,1,2018,México,Mexicano,Centro,Morelos,Jiutepec,"Grande (más de 100,000)",Ciudad mediana,Urbano,22/02/2019,Hombre,26,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $9,301 - $13,000"
1346,MEX18_1346,461,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,26/03/2019,Mujer,50,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,No sabe,"Entre $3,801 - $4,300"
814,MEX18_0814,462,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,27/03/2019,Hombre,35,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PRI / Partido Revolucionario Institucional,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $6,401 - $7,600"
140,MEX18_0140,462,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,27/03/2019,Hombre,28,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $9,301 - $13,000"
393,MEX18_0393,462,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,27/03/2019,Hombre,56,Desempleo/falta de empleo,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Más de $13,000"
1306,MEX18_1306,811,124,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,23/02/2019,Mujer,64,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $7,601 - $9,300"
64,MEX18_0064,402,28,1,2018,México,Mexicano,Sur,Guerrero,Eduardo Neri,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Mujer,26,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,201 - $1,600"
136,MEX18_0136,811,124,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,23/02/2019,Hombre,23,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,801 - $5,400"
637,MEX18_0637,811,124,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,23/02/2019,Hombre,22,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,301 - $4,800"
1574,MEX18_1574,461,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,26/03/2019,Mujer,49,Pobreza,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,No responde
201,MEX18_0201,431,59,1,2018,México,Mexicano,Sur,Guerrero,Metlatónoc,"Pequeña (menos de 25,000)",Área rural,Rural,02/03/2019,Mujer,24,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
838,MEX18_0838,401,28,1,2018,México,Mexicano,Sur,Guerrero,Eduardo Neri,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Hombre,23,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,801 - $5,400"
1243,MEX18_1243,461,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,26/03/2019,Mujer,20,Pobreza,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,201 - $1,600"
168,MEX18_0168,462,94,1,2018,México,Mexicano,Centro,Hidalgo,San Felipe Orizatlán,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Rural,27/03/2019,Mujer,57,Desempleo/falta de empleo,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,601 - $2,000"
746,MEX18_0746,422,52,1,2018,México,Mexicano,Sur,Guerrero,Leonardo Bravo,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,01/03/2019,Mujer,29,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $5,401 - $6,400"
386,MEX18_0386,401,28,1,2018,México,Mexicano,Sur,Guerrero,Eduardo Neri,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Hombre,37,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PRD / Partido de la Revolución Democrática,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,001 - $2,400"
307,MEX18_0307,422,52,1,2018,México,Mexicano,Sur,Guerrero,Leonardo Bravo,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,01/03/2019,Mujer,29,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
1040,MEX18_1040,801,123,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,22/02/2019,Mujer,36,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
8,MEX18_0008,421,52,1,2018,México,Mexicano,Sur,Guerrero,Leonardo Bravo,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,01/03/2019,Hombre,77,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $6,401 - $7,600"
529,MEX18_0529,791,48,1,2018,México,Mexicano,Centro,Morelos,Jiutepec,"Grande (más de 100,000)",Ciudad mediana,Urbano,21/02/2019,Mujer,41,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,No responde
1182,MEX18_1182,162,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,27/02/2019,Hombre,70,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,201 - $1,600"
244,MEX18_0244,671,73,1,2018,México,Mexicano,Centro,Estado de México,Nicolás Romero,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Rural,04/02/2019,Hombre,68,Otro,No,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $4,801 - $5,400"
776,MEX18_0776,261,45,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,30/01/2019,Mujer,38,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $5,401 - $6,400"
284,MEX18_0284,301,9,1,2018,México,Mexicano,Centro,Distrito Federal,Benito Juárez,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,05/02/2019,Mujer,65,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Algo,Votaría por el candidato o partido del actual presidente/administración,"Más de $13,000"
832,MEX18_0832,301,9,1,2018,México,Mexicano,Centro,Distrito Federal,Benito Juárez,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,01/02/2019,Hombre,56,Mal gobierno,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PRD / Partido de la Revolución Democrática,Mucho,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $4,301 - $4,800"
1247,MEX18_1247,262,45,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,30/01/2019,Mujer,64,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $9,301 - $13,000"
123,MEX18_0123,302,9,1,2018,México,Mexicano,Centro,Distrito Federal,Benito Juárez,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,05/02/2019,Mujer,78,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,801 - $5,400"
969,MEX18_0969,161,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,27/02/2019,Mujer,27,Desempleo/falta de empleo,No sabe,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,401 - $2,800"
632,MEX18_0632,161,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,27/02/2019,Mujer,30,Violencia,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por algún candidato o partido diferente del actual gobierno,"Entre $7,601 - $9,300"
887,MEX18_0887,171,17,1,2018,México,Mexicano,Norte,Chihuahua,Chihuahua,"Grande (más de 100,000)",Ciudad grande,Urbano,25/02/2019,Mujer,64,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PAN / Partido Acción Nacional,Algo,Votaría por algún candidato o partido diferente del actual gobierno,"Entre $5,401 - $6,400"
296,MEX18_0296,162,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,25/02/2019,Mujer,43,Violencia,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,401 - $3,800"
538,MEX18_0538,932,34,1,2018,México,Mexicano,Centro,Puebla,Honey,"Pequeña (menos de 25,000)",Ciudad pequeña,Rural,08/03/2019,Mujer,29,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
98,MEX18_0098,172,16,1,2018,México,Mexicano,Norte,Chihuahua,Chihuahua,"Grande (más de 100,000)",Ciudad grande,Urbano,24/02/2019,Hombre,39,Pobreza,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $5,401 - $6,400"
769,MEX18_0769,192,77,1,2018,México,Mexicano,Norte,Chihuahua,Ojinaga,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Hombre,43,Violencia,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,401 - $3,800"
1435,MEX18_1435,162,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,27/02/2019,Mujer,63,"Drogas, consumo de, drogadicción",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por algún candidato o partido diferente del actual gobierno,"Entre $2,001 - $2,400"
53,MEX18_0053,322,24,1,2018,México,Mexicano,Norte,Durango,Cuencamé,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,22/02/2019,Hombre,76,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,No sabe
790,MEX18_0790,932,34,1,2018,México,Mexicano,Centro,Puebla,Honey,"Pequeña (menos de 25,000)",Ciudad pequeña,Rural,08/03/2019,Mujer,68,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
761,MEX18_0761,932,34,1,2018,México,Mexicano,Centro,Puebla,Honey,"Pequeña (menos de 25,000)",Ciudad pequeña,Rural,08/03/2019,Hombre,45,"Salud, falta de servicio",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,801 - $5,400"
1365,MEX18_1365,932,34,1,2018,México,Mexicano,Centro,Puebla,Honey,"Pequeña (menos de 25,000)",Ciudad pequeña,Rural,08/03/2019,Mujer,29,No sabe,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
1225,MEX18_1225,162,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,27/02/2019,Mujer,36,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Nada,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $2,001 - $2,400"
1373,MEX18_1373,162,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,25/02/2019,Mujer,22,"Drogas, consumo de, drogadicción",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
1244,MEX18_1244,192,77,1,2018,México,Mexicano,Norte,Chihuahua,Ojinaga,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Hombre,49,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,No sabe
522,MEX18_0522,321,24,1,2018,México,Mexicano,Norte,Durango,Cuencamé,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,22/02/2019,Mujer,51,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $5,401 - $6,400"
1219,MEX18_1219,162,17,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,25/02/2019,Hombre,37,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $9,301 - $13,000"
1013,MEX18_1013,642,69,1,2018,México,Mexicano,Centro,Estado de México,Naucalpan de Juárez,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,13/03/2019,Hombre,32,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,No sabe,"Más de $13,000"
807,MEX18_0807,321,24,1,2018,México,Mexicano,Norte,Durango,Cuencamé,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,22/02/2019,Mujer,23,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $1,601 - $2,000"
1360,MEX18_1360,331,53,1,2018,México,Mexicano,Norte,Durango,Lerdo,"Grande (más de 100,000)",Ciudad mediana,Rural,23/02/2019,Mujer,66,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,No sabe,"Entre $9,301 - $13,000"
519,MEX18_0519,181,16,1,2018,México,Mexicano,Norte,Chihuahua,Ciudad Juárez,"Grande (más de 100,000)",Ciudad grande,Urbano,24/02/2019,Mujer,28,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,No votaría,"Entre $9,301 - $13,000"
158,MEX18_0158,272,46,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,31/01/2019,Hombre,74,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,401 - $3,800"
916,MEX18_0916,261,45,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,30/01/2019,Hombre,70,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,801 - $5,400"
80,MEX18_0080,271,46,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,31/01/2019,Mujer,44,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,401 - $2,800"
1230,MEX18_1230,262,45,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,30/01/2019,Mujer,70,"Delincuencia, crimen",Sí,No,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $620 - $1,200"
1154,MEX18_1154,271,46,1,2018,México,Mexicano,Centro,Distrito Federal,Iztapalapa,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,31/01/2019,Hombre,23,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $5,401 - $6,400"
