Grado,Apellido Paterno,Apellido Materno,Nombre,Nivel,Institucion de Adscripcion,Area del Conocimiento
DR.,MOCTEZUMA,ENRIQUEZ,DAMIAN,1,INSTITUTO TECNOLOGICO DE HERMOSILLO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,ARELLANO,TANORI,OSCAR VIDAL,C,INSTITUTO TECNOLOGICO DE HERMOSILLO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,FERRER,MORENO,LAZARO ALBERTO,C,INSTITUTO TECNOLOGICO DE HERMOSILLO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,HOYO,MONTAÑO,JOSE ANTONIO,1,INSTITUTO TECNOLOGICO DE HERMOSILLO,Área VII: INGENIERÍAS
DR.,VALENCIA,PALOMO,GUILLERMO,1,INSTITUTO TECNOLOGICO DE HERMOSILLO,Área VII: INGENIERÍAS
DR.,ORRANTE,SAKANASSI,JORGE ALBERTO,1,INSTITUTO TECNOLOGICO DE HERMOSILLO,Área VII: INGENIERÍAS
DRA.,GARCIA,CRUZ,XOCHITL MARIA,C,INSTITUTO TECNOLOGICO DE HERMOSILLO,Área VII: INGENIERÍAS
DRA.,MARTINEZ,CABRERA,DORISMILDA,1,INSTITUTO TECNOLOGICO DE HUEJUTLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MERAZ,MELO,MARCO ANTONIO,1,INSTITUTO TECNOLOGICO DE IZTAPALAPA III,Área VII: INGENIERÍAS
DR.,MORENO,CASILLAS,HECTOR AURELIO,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área II: BIOLOGÍA Y QUÍMICA
DR.,CISNEROS,DE LA CUEVA,SERGIO,C,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área II: BIOLOGÍA Y QUÍMICA
DR.,RIVERO,CORONA,MICHEL ALEJANDRO,C,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,ESCALANTE,NOTARIO,GERMAN,C,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,MARTINEZ,CALZADA,VICTOR,C,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,LLAMA,LEAL,MIGUEL ANGEL,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,SANTIBAÑEZ,DAVILA,VICTOR ADRIAN,3,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,VALDES,PEREZGASGA,FRANCISCO,2,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,ARJONA,LOPEZ,MARCO ANTONIO,2,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,DZUL,LOPEZ,ALEJANDRO ENRIQUE,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,FLORES,GARCIA,FRANCISCO GERARDO,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,CAMPA,COCOM,RICARDO EMMANUEL,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DRA.,HERNANDEZ,FLORES,CONCEPCION,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,JURADO,ZAMARRIPA,FRANCISCO,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,CAMPOS,AMEZCUA,RAFAEL,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,GARCIA,HERNANDEZ,RAMON,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,CEPEDA,RUBIO,MARIO FRANCISCO JESUS,C,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,LOERA,PALOMO,RODRIGO,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,ALVAREZ,MACIAS,CARLOS,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,RIOS,BARAJAS,HECTOR,1,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,GONZALEZ,SIERRA,JAIME,C,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DR.,ABUNDIS,FONG,HUGO FRANCISCO,C,INSTITUTO TECNOLOGICO DE LA LAGUNA,Área VII: INGENIERÍAS
DRA.,ROMERO,GERALDO,REYNA DE JESUS,1,INSTITUTO TECNOLOGICO DE LA PAZ,Área II: BIOLOGÍA Y QUÍMICA
DR.,SANTILLAN,MENDEZ,ISRAEL MARCOS,1,INSTITUTO TECNOLOGICO DE LA PAZ,Área VII: INGENIERÍAS
DR.,CASANOVA,LUGO,FERNANDO,1,INSTITUTO TECNOLOGICO DE LA ZONA MAYA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,LARA,PEREZ,LUIS ALBERTO,C,INSTITUTO TECNOLOGICO DE LA ZONA MAYA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,OROS,ORTEGA,IVAN,C,INSTITUTO TECNOLOGICO DE LA ZONA MAYA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,LOPEZ,TINOCO,JULIAN,C,INSTITUTO TECNOLOGICO DE LAZARO CARDENAS,Área VII: INGENIERÍAS
DR.,CARPIO,VALADEZ,JUAN MARTIN,1,INSTITUTO TECNOLOGICO DE LEON,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,MOSIÑO,sin apellido Materno,JUAN FRANCISCO,1,INSTITUTO TECNOLOGICO DE LEON,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA.,BALTAZAR,FLORES,MARIA DEL ROSARIO,1,INSTITUTO TECNOLOGICO DE LEON,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,PUGA,SOBERANES,HECTOR JOSE,1,INSTITUTO TECNOLOGICO DE LEON,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,ORNELAS,RODRIGUEZ,MANUEL,1,INSTITUTO TECNOLOGICO DE LEON,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,SANTIAGO,MONTERO,RAUL,1,INSTITUTO TECNOLOGICO DE LEON,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,GUTIERREZ,HERNANDEZ,DAVID ASAEL,1,INSTITUTO TECNOLOGICO DE LEON,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,HERNANDEZ,BAUTISTA,IGNACIO,C,INSTITUTO TECNOLOGICO DE LEON,Área VII: INGENIERÍAS
DR.,RIOS,SALDAÑA,CARLOS ANTONIO,C,INSTITUTO TECNOLOGICO DE LINARES,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,PINEDA,BRISEÑO,ANABEL,C,INSTITUTO TECNOLOGICO DE MATAMOROS,Área VII: INGENIERÍAS
DR.,RUELAS,INZUNZA,JORGE RICARDO,2,INSTITUTO TECNOLOGICO DE MAZATLAN,Área II: BIOLOGÍA Y QUÍMICA
DRA.,SPANOPOULOS,ZARCO,PAMELA,C,INSTITUTO TECNOLOGICO DE MAZATLAN,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RAYGOZA,VIERA,JOSE RIGOBERTO,C,INSTITUTO TECNOLOGICO DE MAZATLAN,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,MAGAÑA,ORTIZ,DENIS ISRAEL,1,INSTITUTO TECNOLOGICO DE MERIDA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ANCONA,ESCALANTE,WENDY DEL ROSARIO,C,INSTITUTO TECNOLOGICO DE MERIDA,Área II: BIOLOGÍA Y QUÍMICA
DR.,SAURI,DUCH,ENRIQUE,1,INSTITUTO TECNOLOGICO DE MERIDA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,ORTIZ,VAZQUEZ,ELIZABETH DE LA LUZ,1,INSTITUTO TECNOLOGICO DE MERIDA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,CUEVAS,GLORY,LUIS FERNANDO,1,INSTITUTO TECNOLOGICO DE MERIDA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RUBIO,PIÑA,JORGE ALBERTO,1,INSTITUTO TECNOLOGICO DE MERIDA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MOO,HUCHIN,VICTOR MANUEL,1,INSTITUTO TECNOLOGICO DE MERIDA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,AGUIAR,SIERRA,ROCIO,1,INSTITUTO TECNOLOGICO DE MERIDA,Área V: CIENCIAS SOCIALES
DR.,MUNGUIA,GIL,ALFONSO,1,INSTITUTO TECNOLOGICO DE MERIDA,Área V: CIENCIAS SOCIALES
DR.,OROZCO,DEL CASTILLO,MAURICIO GABRIEL,1,INSTITUTO TECNOLOGICO DE MERIDA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA.,CASTILLO,ATOCHE,ANDREA CECILIA,C,INSTITUTO TECNOLOGICO DE MERIDA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,ARRIOLA,MEDELLIN,ALEJANDRO MARCIANO,1,INSTITUTO TECNOLOGICO DE MERIDA,Área VII: INGENIERÍAS
DR.,LOPEZ,SAURI,DANIEL ARCANGEL,C,INSTITUTO TECNOLOGICO DE MERIDA,Área VII: INGENIERÍAS
DRA.,ARREDONDO,ESPINOZA,MICHELLE,C,INSTITUTO TECNOLOGICO DE MEXICALI,Área II: BIOLOGÍA Y QUÍMICA
DRA.,TOSCANO,PALOMAR,LYDIA,1,INSTITUTO TECNOLOGICO DE MEXICALI,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,GOMEZ,PUENTES,FRANCISCO JAVIER,C,INSTITUTO TECNOLOGICO DE MEXICALI,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,TREJO,VALENCIA,RADAMES,1,INSTITUTO TECNOLOGICO DE MINATITLAN,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RAMIREZ,MARES,JOSE MARCO VINICIO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área II: BIOLOGÍA Y QUÍMICA
DR.,GONZALEZ,HERNANDEZ,JUAN CARLOS,1,INSTITUTO TECNOLOGICO DE MORELIA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ALVAREZ,NAVARRETE,MARIANA,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RUIZ,PAREDES,HECTOR FRANCISCO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,CASIMIRO,LINARES,EDGAR,1,INSTITUTO TECNOLOGICO DE MORELIA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,BARRETO,SANDOVAL,JOSE DE JESUS,2,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,CONEJO,NAVA,ALBERTO,2,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,TOVAR,HERNANDEZ,JOSE HORACIO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,GUARDADO,ZAVALA,JOSE LEONARDO,2,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,GARNICA,GONZALEZ,PEDRO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,GUTIERREZ,GNECCHI,JOSE ANTONIO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,MADRIGAL,MARTINEZ,MANUEL,2,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,MELGOZA,VAZQUEZ,ENRIQUE,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,VENEGAS,REBOLLAR,VICENTE,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,MAXIMOV,sin apellido Materno,SERGUEI,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,RAMOS,BANDERAS,JOSE ANGEL,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,MORENO,GOYTIA,EDGAR LENYMIRKO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,GUTIERREZ,ALCARAZ,GUILLERMO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,RIVAS,DAVALOS,FRANCISCO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,VERGARA,HERNANDEZ,HECTOR JAVIER,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,GARCIA,HERNANDEZ,SAUL,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DRA.,TELLEZ,ANGUIANO,ADRIANA DEL CARMEN,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,CHAVEZ,MURO,JOSE DE JESUS,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,HERNANDEZ,BOCANEGRA,CONSTANTIN ALBERTO,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DRA.,GUTIERREZ,GUERRERO,ENIF GUADALUPE,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,REYES,CALDERON,FRANCISCO,1,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,CAMACHO,ARRIAGA,JUAN CRISTOBAL,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,SALAZAR,TORRES,JUAN ALFONSO,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,AGUILERA,NAVARRETE,ISRAEL,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,ZAMUDIO,JARAMILLO,MIGUEL ANGEL,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,VAZQUEZ,GOMEZ,OCTAVIO,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,ORTIZ,ORTIZ,OCTAVIO SALUD,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,UGALDE,CABALLERO,LUIS EDUARDO,C,INSTITUTO TECNOLOGICO DE MORELIA,Área VII: INGENIERÍAS
DR.,MENDEZ,sin apellido Materno,GERARDO MAXIMILIANO,1,INSTITUTO TECNOLOGICO DE NUEVO LEON,Área VII: INGENIERÍAS
DR.,OSORIO,ABRAHAM,MARIO CESAR,1,INSTITUTO TECNOLOGICO DE NUEVO LEON,Área VII: INGENIERÍAS
DRA.,RAMOS,DELGADO,NORMA ALICIA DE JESUS,1,INSTITUTO TECNOLOGICO DE NUEVO LEON,Área VII: INGENIERÍAS
DR.,HERNANDEZ,SANTOS,CARLOS,C,INSTITUTO TECNOLOGICO DE NUEVO LEON,Área VII: INGENIERÍAS
DR.,MARTINEZ,CRUZ,MARGARITO ABELARDO,1,INSTITUTO TECNOLOGICO DE OAXACA,Área II: BIOLOGÍA Y QUÍMICA
DR.,CRUZ,ARENAS,RAMSES ARTURO,C,INSTITUTO TECNOLOGICO DE OAXACA,Área V: CIENCIAS SOCIALES
DR.,MARTINEZ,MENDOZA,ANDREI JESUS,C,INSTITUTO TECNOLOGICO DE OAXACA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,ENRIQUEZ,VALENCIA,RAUL,1,INSTITUTO TECNOLOGICO DE OAXACA,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,CHIÑAS,CASTILLO,FERNANDO,1,INSTITUTO TECNOLOGICO DE OAXACA,Área VII: INGENIERÍAS
DR.,PEREZ,CAMPOS,EDUARDO LORENZO,2,INSTITUTO TECNOLOGICO DE OAXACA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GARCIA,MONTALVO,IVAN ANTONIO,C,INSTITUTO TECNOLOGICO DE OAXACA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,BELLO,RAMIREZ,ANGELICA MARA,2,INSTITUTO TECNOLOGICO DE ORIZABA,Área II: BIOLOGÍA Y QUÍMICA
DR.,CANTU,LOZANO,DENIS,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,ALVARADO,LASSMAN,ALEJANDRO,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,MENDEZ,CONTRERAS,JUAN MANUEL,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,POSADA,GOMEZ,RUBEN,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DRA.,LUNA,SOLANO,GUADALUPE,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,ALOR,HERNANDEZ,GINER,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,BERNAL,PONCE,JOSE LUIS,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,AGUILAR,LASSERRE,ALBERTO ALFONSO,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,CORTES,ROBLES,GUILLERMO,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,JUAREZ,MARTINEZ,ULISES,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,URREA,GARCIA,GALO RAFAEL,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,SANCHEZ,RAMIREZ,CUAUHTEMOC,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,SANDOVAL,GONZALEZ,OSCAR OSVALDO,C,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,MARTINEZ,SIBAJA,ALBINO,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,FLORES,CUAUTLE,JOSE DE JESUS AGUSTIN,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DRA.,RODRIGUEZ,MAZAHUA,LISBETH,C,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,TRUJILLO,CABALLERO,JUAN CARLOS,C,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,ROLDAN,REYES,EDUARDO,C,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,SANCHEZ,CERVANTES,JOSE LUIS,1,INSTITUTO TECNOLOGICO DE ORIZABA,Área VII: INGENIERÍAS
DR.,DENA,AGUILAR,JOSE ALONSO,C,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,Área II: BIOLOGÍA Y QUÍMICA
DR.,VACAS,JACQUES,PAULINO,1,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,OLVERA,GONZALEZ,JOSE ERNESTO,1,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,Área VII: INGENIERÍAS
DRA.,ESCALANTE,GARCIA,NIVIA IRACEMI,C,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,Área VII: INGENIERÍAS
DR.,BAUTISTA,ELIVAR,NAZARIO,1,INSTITUTO TECNOLOGICO DE PACHUCA,Área VII: INGENIERÍAS
DRA.,AVILA,DAVILA,ERIKA OSIRIS,1,INSTITUTO TECNOLOGICO DE PACHUCA,Área VII: INGENIERÍAS
DR.,VERA,CARDENAS,EDGAR ERNESTO,1,INSTITUTO TECNOLOGICO DE PACHUCA,Área VII: INGENIERÍAS
DR.,CISNEROS,SAGUILAN,PEDRO,C,INSTITUTO TECNOLOGICO DE PINOTEPA NACIONAL,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,GONZALEZ,FLORES,EDUARDO,C,INSTITUTO TECNOLOGICO DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,SANTIAGO,JIMENEZ,MARIA EVELINDA,1,INSTITUTO TECNOLOGICO DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,MUÑOZ,HERNANDEZ,GERMAN ARDUL,1,INSTITUTO TECNOLOGICO DE PUEBLA,Área VII: INGENIERÍAS
DR.,GRACIOS,MARIN,CARLOS ARTURO,1,INSTITUTO TECNOLOGICO DE PUEBLA,Área VII: INGENIERÍAS
DR.,VAZQUEZ,CUCHILLO,ODILON,1,INSTITUTO TECNOLOGICO DE PUEBLA,Área VII: INGENIERÍAS
DR.,PLIEGO,DIAZ,MAXIMO,1,INSTITUTO TECNOLOGICO DE QUERETARO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA.,MARTINEZ,HRNANDEZ,ANA LAURA,2,INSTITUTO TECNOLOGICO DE QUERETARO,Área VII: INGENIERÍAS
DR.,VELASCO,SANTOS,CARLOS,2,INSTITUTO TECNOLOGICO DE QUERETARO,Área VII: INGENIERÍAS
DR.,SANCHEZ,AGUILAR,JONS,1,INSTITUTO TECNOLOGICO DE QUERETARO,Área VII: INGENIERÍAS
DRA.,MEDINA,MONTES,MARIA ISABEL,1,INSTITUTO TECNOLOGICO DE QUERETARO,Área VII: INGENIERÍAS
DRA.,BECERRA,RODRIGUEZ,MARIA BLANCA,C,INSTITUTO TECNOLOGICO DE QUERETARO,Área VII: INGENIERÍAS
DRA.,FLORES,HERNANDEZ,CYNTHIA GRACIELA,C,INSTITUTO TECNOLOGICO DE QUERETARO,Área VII: INGENIERÍAS
DRA.,RODRIGUEZ,MORALES,ESPERANZA,C,INSTITUTO TECNOLOGICO DE QUERETARO,Área VII: INGENIERÍAS
DR.,AGUADO,SANTACRUZ,GERARDO ARMANDO,2,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,ITURRIAGA,DE LA FUENTE,GABRIEL,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RAYA,PEREZ,JUAN CARLOS,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MENDOZA,ELOS,MARIANO,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,AGUIRRE,MANCILLA,CESAR LEOBARDO,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,CERVANTES,ORTIZ,FRANCISCO,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,COVARRUBIAS,PRIETO,JORGE,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,YAÑEZ,LOPEZ,RICARDO,C,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,JOAQUIN,RAMOS,AHUITZOLT DE JESUS,C,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,GONZALEZ,PACHECO,BLANCA ESTELA,C,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RODRIGUEZ,MERCADO,DANIEL,C,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,ALAVEZ,RAMIREZ,ALEJANDRO,C,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RODRIGUEZ,PEREZ,GILBERTO,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,DIAZ,OVALLE,CHRISTIAN OLIVER,1,INSTITUTO TECNOLOGICO DE ROQUE,Área VII: INGENIERÍAS
DR.,RESENDIZ,FLORES,EDGAR OMAR,1,INSTITUTO TECNOLOGICO DE SALTILLO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,RUIZ,Y RUIZ,HECTOR EFRAIN,C,INSTITUTO TECNOLOGICO DE SALTILLO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,PARGA,TORRES,JOSE REFUGIO,2,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DRA.,MATAMOROS,VELOZA,ZULLY,1,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DR.,RODRIGUEZ,REYES,MARIO,1,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DRA.,RODRIGUEZ,ROSALES,NELLY ABIGAIL,C,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DR.,DIAZ,GUILLEN,JOSE ALONSO,1,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DRA.,ESTRADA,RUIZ,ROSA HILDA,1,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DR.,BURCIAGA,DIAZ,OSWALDO,1,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DR.,ALTAMIRANO,GUERRERO,GERARDO,C,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DRA.,RESENDIZ,HERNANDEZ,PERLA JANET,C,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DRA.,CHIÑAS,SANCHEZ,PAMELA,C,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DRA.,OCHOA,PALACIOS,ROCIO MARICELA,C,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
DR.,MARTINEZ,LOPEZ,RICARDO,C,INSTITUTO TECNOLOGICO DE SALTILLO,Área VII: INGENIERÍAS
